Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0805_2012Metric,8.26,31.18,90.0,top
C10,10µ,C_0805_2012Metric,16.65,9.0,0.0,top
C11,4.7µ,C_0805_2012Metric,7.11,1.44,180.0,top
C12,10µ,C_0805_2012Metric,12.33,9.11,180.0,top
C13,47n,C_0805_2012Metric,8.1,3.79,0.0,top
C14,1µ,C_0805_2012Metric,2.88,3.37,180.0,top
C15,1µ,C_0805_2012Metric,3.79,10.51,0.0,top
C16,1µ,C_0805_2012Metric,27.6075,32.34,180.0,top
C17,1µ,C_0805_2012Metric,23.4,37.76,90.0,top
C18,10µ,C_0805_2012Metric,20.81,24.22,0.0,top
C19,100n,C_0805_2012Metric,20.78,20.16,0.0,top
C2,2.2µ,C_0805_2012Metric,5.37,33.66,180.0,top
C21,100n,C_0805_2012Metric,5.21,20.86,0.0,top
C22,1n,C_0805_2012Metric,5.0,18.28,0.0,top
C24,22µ,C_0805_2012Metric,8.06,57.9,90.0,top
C25,100n,C_0805_2012Metric,5.94,57.92,90.0,top
C3,100n,C_0805_2012Metric,13.88,38.78,180.0,top
C31,1µ,C_0805_2012Metric,2.96,28.42,180.0,top
C32,100n,C_0805_2012Metric,13.89,36.74,180.0,top
C33,10µ,C_0805_2012Metric,17.33,11.77,0.0,top
C34,100n,C_0805_2012Metric,27.02,15.43,180.0,top
C35,100n,C_0805_2012Metric,20.79,22.19,0.0,top
C37,1µ,C_0805_2012Metric,8.1,54.39,-90.0,top
C4,10µ,C_0805_2012Metric,20.74,36.09,90.0,top
C5,1µ,C_0805_2012Metric,13.99,31.04,180.0,top
C6,100n,C_0805_2012Metric,13.98,33.32,180.0,top
C8,1µ,C_0805_2012Metric,15.1,1.47,0.0,top
C9,10µ,C_0805_2012Metric,11.08,1.94,-90.0,top
D1,JNJ-LTJG0106W15,LED_PLCC_2835,15.0,30.45,0.0,bottom
D2,JNJ-LTJG0106W15,LED_PLCC_2835,15.0,22.98,0.0,bottom
D3,JNJ-LTJG0106W15,LED_PLCC_2835,15.0,15.58,0.0,bottom
D4,VEMD8080,XDCR_VEMD8080,15.0,19.28,270.0,bottom
D6,VEMD8080,XDCR_VEMD8080,15.0,26.72,270.0,bottom
IC1,BGA824N6E6329XTSA1,BGA824N6E6329XTSA1,1.97,22.42,90.0,top
J1,1054500101,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,4.83,41.13,-90.0,top
J2,S2B-PH-SM4-TB,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,25.31,5.13,0.0,top
J3,73412-0110,U.FL_Molex_MCRF_73412-0110_Vertical,3.25,14.21,180.0,top
J4,Conn_01x04,PinHeader_1x04_P1.27mm_Vertical,1.94,32.6,180.0,top
L1,1µ,L_0805_2012Metric,9.43,6.28,180.0,top
L2,6.8n,L_0805_2012Metric,2.1,18.89,-90.0,top
MT1,ICM-42670-P,XDCR_ICM-42670-P,5.3625,31.01,0.0,top
R1,5.1k,R_0805_2012Metric,1.94,47.61,180.0,top
R2,5.1k,R_0805_2012Metric,4.7,48.25,90.0,top
R29,10k,R_0805_2012Metric,6.04,54.42,90.0,top
R3,10k,R_0805_2012Metric,18.88,2.3,90.0,top
R4,10k,R_0805_2012Metric,18.84,6.0025,90.0,top
R5,10k,R_0805_2012Metric,7.42,51.7,0.0,top
R6,10k,R_0805_2012Metric,7.44,49.73,0.0,top
SW1,EVQP7A01P,SW_SPST_EVQP7A,1.755,56.97,-90.0,top
SW2,EVQP7A01P,SW_SPST_EVQP7A,1.745,51.4,-90.0,top
U1,MAX86141ENP+T,21-100134_N201A2-1_MXM,18.2,34.36,0.0,top
U10,MAX-M8Q,ublox_MAX,12.93,19.98,180.0,top
U2,TXB0304RUTR,Texas_R-PUQFN-N12,17.67,38.43,90.0,top
U3,BQ25601,Texas_RTW_WQFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm_ThermalVias,14.54,5.2775,90.0,top
U4,XC6210B332MR,SOT-23-5,3.85,7.1425,90.0,top
U5,XC6210B182MR,SOT-23-5,27.5275,36.27,90.0,top
U8,MX25L3233FM2I-08G,SOIC-8_5.3x5.3mm_P1.27mm,26.085,21.3025,-90.0,top
U9,ESP32-S3-WROOM-1-N16R8,ESP32-S3-WROOM-1,19.45,49.56,0.0,top
